episode,step,reward
1,186,-72.50694232061505
2,712,-253.89369450788945
3,944,-124.43801443558186
4,1183,51.796732841059566
5,1241,119.5925722643733
6,1304,36.07232892140746
7,1369,136.97005772590637
8,1445,-146.58758893609047
9,1495,113.44532138109209
10,1547,196.9795652627945
11,1580,36.47060349583626
12,1969,-240.5247965678573
13,2022,-47.6435636067763
14,2103,17.4877073392272
15,2200,-127.9886619001627
16,2267,57.54016190767288
17,2355,394.2148640975356
18,2410,433.7820205539465
19,2497,44.25624135136604
20,2555,416.2433676123619
21,2616,530.5222940891981
22,2701,299.3295985981822
23,2808,271.8092167675495
24,2885,254.19712725281715
25,2990,818.6694943159819
26,3045,197.02030520886183
27,3127,285.4725904762745
28,3177,367.4371617287397
29,3237,422.5597749501467
30,3342,984.2231587320566
31,3506,781.7579538524151
32,3548,266.7518787868321
33,3620,660.418591350317
34,3704,876.5750778317451
35,3806,1323.070441171527
36,3906,1100.1690416038036
37,3977,768.3880577757955
38,4176,1592.590457722545
39,4263,340.7571080029011
40,4343,606.310465067625
41,4432,1135.47574788332
42,4529,1507.520368218422
43,4879,4828.088430918753
44,4927,320.9192726165056
45,4972,251.5367925167084
46,5064,373.1561399339698
47,5103,176.79232800006866
48,5257,3263.2336820960045
49,5315,401.1158607751131
50,5426,1536.3571619987488
51,5502,902.360320225358
52,5555,341.8486534357071
53,5636,659.5285461395979
54,5704,672.0699699223042
55,5807,188.85523921251297
56,6036,4093.091799199581
57,6100,106.47087320685388
58,6207,1565.4730278402567
59,6271,652.5329520106316
60,6354,844.9596725106239
61,6378,95.53545621037485
62,6485,669.3537350893021
63,6568,1138.3104624152184
64,6653,1133.4446336328983
65,6704,396.4894336462021
66,6930,3010.303227059543
67,7041,1940.0928713679316
68,7116,906.78808824718
69,7247,1426.5256009995935
70,7290,206.74759902060032
71,7511,1894.7404802292583
72,7562,438.4025362331304
73,7646,1155.741312623024
74,7729,289.21929007023573
75,7852,1843.2720583677287
76,7929,-14.251579582691193
77,8017,338.5653937906027
78,8130,1400.5981303453443
79,8236,1946.1343644708395
80,8343,1929.8474258333445
81,8430,1312.8566708117723
82,8483,379.23084057867527
83,8540,228.18383226543665
84,8612,868.5928332060575
85,8685,758.9806176424026
86,8783,-186.6995751261711
87,8875,1470.2946362793446
88,8987,1917.8116884231567
89,9231,1749.2469094581902
90,9385,539.9125000536442
91,9488,734.9690236896276
92,9593,-89.69422268867493
93,9803,1687.7002110853791
94,9992,2900.068090647459
95,10055,470.5493465065956
96,10244,310.9084876384586
97,10328,856.9333127588034
98,10379,392.3119370043278
99,10421,405.3174463585019
100,10501,1253.9259055135772
101,10636,1319.5336405783892
102,10678,399.8249959591776
103,10729,535.7510220706463
104,10828,684.2233644970693
105,10861,122.20023240149021
106,10946,1125.367056965828
107,11002,606.7064949125051
108,11603,6444.902107402682
109,12204,6617.961163650267
110,12320,1267.6914701238275
111,12921,8239.32848611474
112,13522,9721.40968991816
113,14123,7952.509764701128
114,14472,3159.9039089810103
115,15073,7364.931936964393
116,15674,9915.479888673872
117,16120,4096.409434916452
118,16270,-149.05279874708503
119,16871,6665.910206856206
120,17211,3864.924092769623
121,17812,6113.57304751873
122,17931,1439.3632475640625
123,18468,5370.466236030217
124,19069,6991.967932202853
125,19180,235.50693254172802
126,19326,2013.3598639070988
127,19405,1115.4843947440386
128,19533,564.8007199750282
